Model	Tumor Type	Treatment	Volume (mm3)	body weight (g)	Days Post T0	% TVol Difference	% BW Difference
X-4339	CM	LEE011 + encorafenib	200.1	29.2	43	-5.8	3.9
X-4339	CM	LEE011 + encorafenib	174.9	28.7	47	-17.7	2.1
X-4339	CM	LEE011 + encorafenib	203.1	29.4	50	-4.4	4.6
X-4339	CM	LEE011 + encorafenib	213.5	29.8	54	0.5	6
X-4339	CM	LEE011 + encorafenib	228.4	29.8	57	7.5	6
X-4339	CM	LEE011 + encorafenib	201.6	28.1	63	-5.1	0
X-4339	CM	LEE011 + encorafenib	180.3	28.8	69	-15.2	2.5
X-4339	CM	LEE011 + encorafenib	161.2	29.6	72	-24.2	5.3
X-4339	CM	LEE011 + encorafenib	166.1	29	76	-21.9	3.2
X-4339	CM	LEE011 + encorafenib	178.5	27.5	81	-16	-2.1
X-4339	CM	LEE011 + encorafenib	136.9	28.6	88	-35.6	1.8
X-4339	CM	LEE011 + encorafenib	178.9	28.3	95	-15.9	0.7
X-4339	CM	LEE011 + encorafenib	126.9	28.1	101	-40.3	0
X-4339	CM	LEE011 + encorafenib	171.4	28.9	108	-19.4	2.8
X-4339	CM	LEE011 + encorafenib	139.3	30	114	-34.5	6.8
X-4339	CM	LEE011 + encorafenib	109.8	29.6	120	-48.3	5.3
X-4339	CM	LEE011 + encorafenib	137.2	29.8	127	-35.4	6
X-4339	CM	LEE011 + encorafenib	113.4	31	134	-46.6	10.3
X-4339	CM	LEE011 + encorafenib	113.1	31	144	-46.8	10.3
X-4339	CM	LEE011 + encorafenib	129.6	29.1	150	-39	3.6
X-4339	CM	LEE011 + encorafenib	153.6	28.9	157	-27.7	2.8
X-4339	CM	LEE011 + encorafenib	149.5	27.5	166	-29.7	-2.1
X-4339	CM	LEE011 + encorafenib	158.4	28	170	-25.5	-0.4
X-4339	CM	LEE011 + binimetinib	204.2	24.2	0	0	0
X-4339	CM	LEE011 + binimetinib	161	22.6	3	-21.1	-6.6
X-4339	CM	LEE011 + binimetinib	162.4	25.2	7	-20.4	4.1
X-4339	CM	LEE011 + binimetinib	166.6	25.3	10	-18.4	4.5
X-4339	CM	LEE011 + binimetinib	150.7	26.3	14	-26.2	8.7
X-4339	CM	LEE011 + binimetinib	89.6	26.6	17	-56.1	9.9
X-4339	CM	LEE011 + binimetinib	76.3	26.1	23	-62.7	7.9
X-4339	CM	LEE011 + binimetinib	109.8	26	29	-46.2	7.4
X-4339	CM	LEE011 + binimetinib	112.1	26.1	32	-45.1	7.9
X-4339	CM	LEE011 + binimetinib	71.3	26.5	36	-65.1	9.5
X-4339	CM	LEE011 + binimetinib	66	26.4	41	-67.7	9.1
X-4339	CM	LEE011 + binimetinib	62.2	26.7	48	-69.5	10.3
X-4339	CM	LEE011 + binimetinib	54	25.6	55	-73.6	5.8
X-4339	CM	LEE011 + binimetinib	55	25.5	61	-73.1	5.4
X-4339	CM	LEE011 + binimetinib	49.9	26.8	68	-75.5	10.7
X-4339	CM	LEE011 + binimetinib	42	27.2	73	-79.4	12.4
X-4339	CM	LEE011 + binimetinib	40	26.2	79	-80.4	8.3
X-4339	CM	LEE011 + binimetinib	32.5	27.5	86	-84.1	13.6
X-4339	CM	LEE011 + binimetinib	35.2	27.3	93	-82.8	12.8
X-4339	CM	LEE011 + binimetinib	27	27.9	103	-86.8	15.3
X-4339	CM	LEE011 + binimetinib	28.8	25.9	109	-85.9	7
X-4339	CM	LEE011 + binimetinib	28.2	26.3	116	-86.2	8.7
X-4339	CM	LEE011 + binimetinib	33.2	26.5	125	-83.7	9.5
X-4339	CM	LEE011 + binimetinib	32.5	27	129	-84.1	11.6
X-4339	CM	LEE011 + binimetinib	34.2	27.1	136	-83.2	12
X-4339	CM	LEE011 + binimetinib	32	26.7	143	-84.3	10.3
X-4339	CM	LEE011 + binimetinib	32	26.8	150	-84.3	10.7
X-4339	CM	LEE011 + binimetinib	39.7	26.2	157	-80.6	8.3
X-4339	CM	LEE011 + binimetinib	35.4	26.6	163	-82.7	9.9
X-4339	CM	LEE011 + binimetinib	36.8	26	170	-82	7.4
X-4339	CM	LEE011 + binimetinib	35.7	26.4	177	-82.5	9.1
X-4339	CM	WNT974	198.5	23.5	0	0	0
X-4339	CM	WNT974	215.1	22.2	4	8.4	-5.5
X-4339	CM	WNT974	222.9	22.6	8	12.3	-3.8
X-4339	CM	WNT974	230	21.5	11	15.9	-8.5
X-4339	CM	WNT974	239.1	21.3	15	20.5	-9.4
X-4339	CM	WNT974	232.7	21	19	17.3	-10.6
X-4339	CM	WNT974	242.6	21	22	22.2	-10.6
X-4339	CM	WNT974	276.8	19.5	26	39.5	-17
X-4339	CM	LGW813	200	28.3	0	0	0
X-4339	CM	LGW813	227.3	28.6	4	13.6	1.1
X-4339	CM	LGW813	225	26.9	7	12.5	-4.9
X-4339	CM	LGW813	226.5	27.4	11	13.3	-3.2
X-4339	CM	LGW813	243.7	28.4	15	21.9	0.4
X-4339	CM	LGW813	239.1	27.1	18	19.6	-4.2
X-4339	CM	LGW813	292.5	28.7	22	46.3	1.4
X-4339	CM	LGW813	306.6	27.6	26	53.3	-2.5
X-4339	CM	LGW813	306.6	28.4	29	53.3	0.4
X-4339	CM	LGW813	303.1	29.4	33	51.6	3.9
X-4339	CM	LGW813	324.6	29.1	36	62.3	2.8
X-4339	CM	LGW813	361.3	28.1	44	80.7	-0.7
X-4339	CM	LGW813	361.3	28.4	48	80.7	0.4
X-4339	CM	LGW813	423.2	27.8	51	111.6	-1.8
X-4339	CM	encorafenib	206.7	24.1	0	0	0
X-4339	CM	encorafenib	247.5	22.5	6	19.8	-6.6
X-4339	CM	encorafenib	276.8	23.4	10	33.9	-2.9
X-4339	CM	encorafenib	347.9	22.2	14	68.3	-7.9
X-4339	CM	encorafenib	425.9	22	17	106.1	-8.7
X-4339	CM	encorafenib	416.3	22.1	21	101.4	-8.3
X-4339	CM	encorafenib	392	22.1	24	89.7	-8.3
X-4339	CM	encorafenib	496.4	22	28	140.2	-8.7
X-4339	CM	encorafenib	458.4	23.2	32	121.8	-3.7
X-4339	CM	encorafenib	467.1	21.8	35	126	-9.5
X-4339	CM	encorafenib	568.5	21.9	39	175	-9.1
X-4339	CM	encorafenib	601.9	21.8	43	191.2	-9.5
X-4339	CM	encorafenib	707.5	22.6	46	242.3	-6.2
X-4339	CM	encorafenib + binimetinib	209.2	26.1	0	0	0
X-4339	CM	encorafenib + binimetinib	227.3	24.6	4	8.6	-5.7
X-4339	CM	encorafenib + binimetinib	255	23.6	7	21.9	-9.6
X-4339	CM	encorafenib + binimetinib	288	24.4	11	37.7	-6.5
X-4339	CM	encorafenib + binimetinib	327.2	25	14	56.4	-4.2
X-4339	CM	encorafenib + binimetinib	384.6	22.7	19	83.8	-13
X-4339	CM	encorafenib + binimetinib	382.9	25.1	23	83	-3.8
X-4339	CM	encorafenib + binimetinib	379.3	24.4	26	81.3	-6.5
X-4339	CM	encorafenib + binimetinib	386.5	24.6	29	84.8	-5.7
X-4339	CM	encorafenib + binimetinib	433.5	24.4	33	107.2	-6.5
X-4339	CM	encorafenib + binimetinib	653.1	24.3	36	212.2	-6.9
X-4339	CM	encorafenib + binimetinib	622.6	25.1	40	197.6	-3.8
X-4339	CM	encorafenib + binimetinib	695.1	24.2	43	232.3	-7.3
X-4339	CM	encorafenib + binimetinib	758.8	25	47	262.7	-4.2
X-4339	CM	binimetinib	199.1	20.6	0	0	0
X-4339	CM	binimetinib	198.5	22.2	4	-0.3	7.8
X-4339	CM	binimetinib	216.3	22	7	8.6	6.8
X-4339	CM	binimetinib	194.4	22.7	11	-2.4	10.2
X-4339	CM	binimetinib	188.7	20.6	14	-5.3	0
X-4339	CM	binimetinib	218.5	21	18	9.7	1.9
X-4339	CM	binimetinib	205.4	21.9	22	3.1	6.3
X-4339	CM	binimetinib	221.8	21.2	25	11.4	2.9
X-4339	CM	binimetinib	236.8	22.2	29	18.9	7.8
X-4339	CM	binimetinib	212.5	21.1	33	6.7	2.4
X-4339	CM	binimetinib	226.5	22.3	36	13.7	8.3
X-4339	CM	binimetinib	237.1	23.1	40	19.1	12.1
X-4339	CM	binimetinib	239.8	21	43	20.4	1.9
X-4339	CM	binimetinib	267.2	21	48	34.2	1.9
X-4339	CM	binimetinib	298.1	21.1	52	49.7	2.4
X-4339	CM	binimetinib	298.1	20.7	55	49.7	0.5
X-4339	CM	binimetinib	313.6	21.5	58	57.5	4.4
X-4339	CM	binimetinib	313.3	21.5	62	57.4	4.4
X-4339	CM	binimetinib	277.4	21.7	65	39.3	5.3
X-4339	CM	binimetinib	274.3	21.6	69	37.8	4.9
X-4339	CM	binimetinib	345.2	20.7	72	73.4	0.5
X-4339	CM	binimetinib	374.3	20.9	76	88	1.5
X-4339	CM	binimetinib	410.6	21.2	79	106.2	2.9
X-4339	CM	binimetinib	431.4	21.6	85	116.7	4.9
X-4339	CM	TAS266	196	20	0	0	0
X-4339	CM	TAS266	235.5	19.7	4	20.1	-1.5
X-4339	CM	TAS266	214.2	19.4	7	9.3	-3
X-4339	CM	TAS266	223.8	19.4	13	14.2	-3
X-4339	CM	TAS266	225	20.2	17	14.8	1
X-4339	CM	TAS266	243.4	20	21	24.2	0
X-4339	CM	TAS266	239.7	20.4	24	22.3	2
X-4339	CM	TAS266	261.6	19.4	28	33.5	-3
X-4339	CM	TAS266	284.8	19.7	31	45.3	-1.5
X-4339	CM	TAS266	335.2	19	35	71	-5
X-4339	CM	TAS266	410.4	21.1	39	109.4	5.5
X-4339	CM	TAS266	393.6	19	42	100.8	-5
X-4339	CM	TAS266	444.4	20.1	46	126.7	0.5
X-4339	CM	TAS266	444.4	20.2	47	126.7	1
X-4339	CM	untreated	198.5	20.5	0	0	0
X-4339	CM	untreated	255	20.2	3	28.5	-1.5
X-4339	CM	untreated	264.7	20.2	7	33.4	-1.5
X-4339	CM	untreated	294.4	20	10	48.3	-2.4
X-4339	CM	untreated	371.7	20.5	16	87.3	0
X-4339	CM	untreated	375.6	19.4	20	89.3	-5.4
X-4339	CM	untreated	484.6	19	24	144.2	-7.3
X-4339	CM	untreated	530.5	19.3	27	167.3	-5.9
X-4339	CM	untreated	556.6	19	31	180.5	-7.3
X-4339	CM	untreated	629.2	19.6	34	217.1	-4.4
X-4339	CM	untreated	807.7	19.5	38	307	-4.9
X-4339	CM	untreated	766.8	22.3	42	286.4	8.8
X-4339	CM	untreated	856.3	20	45	331.5	-2.4
X-4347	BRCA	BGJ398	210.9	23.8	0	0	0
X-4347	BRCA	BGJ398	232.9	23.8	3	10.4	0
X-4347	BRCA	BGJ398	193.2	24	7	-8.4	0.8
X-4347	BRCA	BGJ398	223.8	23.5	10	6.1	-1.3
X-4347	BRCA	BGJ398	267.9	24.8	14	27	4.2
X-4347	BRCA	BGJ398	313	24.6	17	48.4	3.4
X-4347	BRCA	BGJ398	328.7	23.9	21	55.9	0.4
X-4347	BRCA	BGJ398	393.6	23.8	24	86.6	0
X-4347	BRCA	BGJ398	350.1	23.7	28	66	-0.4
X-4347	BRCA	BGJ398	420.2	23.7	31	99.2	-0.4
X-4347	BRCA	BGJ398	506	23.7	35	139.9	-0.4
X-4347	BRCA	BGJ398	544.8	24.6	38	158.3	3.4
X-4347	BRCA	BGJ398	573.9	24.3	42	172.1	2.1
X-4347	BRCA	BGJ398	583.7	24.4	45	176.8	2.5
X-4347	BRCA	BGJ398	654.5	24.3	49	210.3	2.1
X-4347	BRCA	BGJ398	698.7	25.9	52	231.3	8.8
X-4347	BRCA	BGJ398	824.9	23.8	56	291.1	0
X-4347	BRCA	BGJ398	937.7	24.9	60	344.6	4.6
X-4347	BRCA	BKM120	221.8	29.9	0	0	0
X-4347	BRCA	BKM120	216.6	29.2	4	-2.3	-2.3
X-4347	BRCA	BKM120	196.7	30.3	8	-11.3	1.3
X-4347	BRCA	BKM120	172.9	27.4	11	-22	-8.4
X-4347	BRCA	BKM120	192.5	29.3	15	-13.2	-2
X-4347	BRCA	BKM120	180.7	29.1	18	-18.5	-2.7
X-4347	BRCA	BKM120	202	29.7	22	-8.9	-0.7
X-4347	BRCA	BKM120	198.9	28	28	-10.3	-6.4
X-4347	BRCA	BKM120	180	29.3	34	-18.8	-2
X-4347	BRCA	BKM120	210.8	30.7	39	-5	2.7
X-4347	BRCA	BKM120	227.1	30.4	43	2.4	1.7
X-4347	BRCA	BKM120	226.4	31	46	2.1	3.7
X-4347	BRCA	BKM120	239.1	30.8	50	7.8	3
X-4347	BRCA	BKM120	246.9	29.5	53	11.3	-1.3
X-4347	BRCA	BKM120	232.9	30.4	57	5	1.7
X-4347	BRCA	BKM120	243.3	30.5	60	9.7	2
X-4347	BRCA	BKM120	236.6	31	64	6.7	3.7
X-4347	BRCA	BKM120	263.5	26.1	67	18.8	-12.7
X-4347	BRCA	BYL719	256.6	30.9	0	0	0
X-4347	BRCA	BYL719	240.4	30.8	3	-6.3	-0.3
X-4347	BRCA	BYL719	291.8	30.4	6	13.7	-1.6
X-4347	BRCA	BYL719	310.5	30.6	10	21	-1
X-4347	BRCA	BYL719	298.1	31.1	13	16.2	0.6
X-4347	BRCA	BYL719	451.9	30.7	17	76.1	-0.6
X-4347	BRCA	BYL719	485.1	29.9	23	89	-3.2
X-4347	BRCA	BYL719	442.8	29.9	29	72.6	-3.2
X-4347	BRCA	BYL719	418.6	32.8	34	63.1	6.1
X-4347	BRCA	BYL719	497.3	33.3	38	93.8	7.8
X-4347	BRCA	BYL719	438.3	32.2	41	70.8	4.2
X-4347	BRCA	BYL719	487	32.6	45	89.8	5.5
X-4347	BRCA	BYL719	566.9	32	48	120.9	3.6
X-4347	BRCA	BYL719	526.1	29.5	52	105	-4.5
X-4347	BRCA	BYL719	495.6	28.3	55	93.1	-8.4
X-4347	BRCA	BYL719	504.1	30.5	59	96.5	-1.3
X-4347	BRCA	BYL719	609.7	31.2	62	137.6	1
X-4347	BRCA	BYL719	579.1	31.9	66	125.7	3.2
X-4347	BRCA	BYL719	659.9	31.3	69	157.2	1.3
X-4347	BRCA	BYL719	641.2	32	73	149.9	3.6
X-4347	BRCA	BYL719	679	32	76	164.6	3.6
X-4347	BRCA	BYL719	716	32.2	80	179	4.2
X-4347	BRCA	BYL719	743.3	31.5	83	189.7	1.9
X-4347	BRCA	BYL719	797.5	31.2	87	210.8	1
X-4347	BRCA	BYL719	795.8	30.6	90	210.1	-1
X-4347	BRCA	BYL719	802.1	31.7	94	212.6	2.6
X-4347	BRCA	BYL719	794.3	31	98	209.5	0.3
X-4347	BRCA	BYL719 + LJM716	245.9	35.5	0	0	0
X-4347	BRCA	BYL719 + LJM716	202.1	33	4	-17.8	-7
X-4347	BRCA	BYL719 + LJM716	208.7	34.4	8	-15.1	-3.1
X-4347	BRCA	BYL719 + LJM716	209.9	33.6	11	-14.6	-5.4
X-4347	BRCA	BYL719 + LJM716	245.8	35	15	0	-1.4
X-4347	BRCA	BYL719 + LJM716	255.5	34.9	18	3.9	-1.7
X-4347	BRCA	BYL719 + LJM716	273.5	33.8	22	11.2	-4.8
X-4347	BRCA	BYL719 + LJM716	284.1	33.6	28	15.5	-5.4
X-4347	BRCA	BYL719 + LJM716	357.6	33	34	45.4	-7
X-4347	BRCA	BYL719 + LJM716	349	35.2	39	41.9	-0.8
X-4347	BRCA	BYL719 + LJM716	403.1	35.5	43	63.9	0
X-4347	BRCA	BYL719 + LJM716	421.5	35.3	46	71.4	-0.6
X-4347	BRCA	BYL719 + LJM716	427	35.5	50	73.6	0
X-4347	BRCA	BYL719 + LJM716	409.7	33.7	53	66.6	-5.1
X-4347	BRCA	BYL719 + LJM716	454.3	33.9	57	84.7	-4.5
X-4347	BRCA	BYL719 + LJM716	420.8	33.4	60	71.1	-5.9
X-4347	BRCA	BYL719 + LJM716	513.6	34.9	64	108.9	-1.7
X-4347	BRCA	BYL719 + LJM716	499.2	34.6	67	103	-2.5
X-4347	BRCA	BYL719 + LJM716	549.6	35.9	71	123.5	1.1
X-4347	BRCA	BYL719 + LJM716	597.2	35.8	74	142.9	0.8
X-4347	BRCA	BYL719 + LJM716	601.7	35.5	78	144.7	0
X-4347	BRCA	BYL719 + LJM716	607	35.2	81	146.8	-0.8
X-4347	BRCA	BYL719 + LJM716	565.7	29.2	85	130.1	-17.7
X-4347	BRCA	BYL719 + LJM716	560.1	21.5	88	127.8	-39.4
X-4347	BRCA	BYL719 + LEE011	202	28.8	0	0	0
X-4347	BRCA	BYL719 + LEE011	226.2	28	3	12	-2.8
X-4347	BRCA	BYL719 + LEE011	122	26.6	6	-39.6	-7.6
X-4347	BRCA	BYL719 + LEE011	103.8	24.1	10	-48.6	-16.3
X-4347	BRCA	BYL719 + LEE011	136.8	26.2	13	-32.3	-9
X-4347	BRCA	BYL719 + LEE011	129.1	27.2	17	-36.1	-5.6
X-4347	BRCA	BYL719 + LEE011	178.5	27.9	20	-11.6	-3.1
X-4347	BRCA	BYL719 + LEE011	126.4	27.6	24	-37.4	-4.2
X-4347	BRCA	BYL719 + LEE011	93.9	27	28	-53.5	-6.2
X-4347	BRCA	BYL719 + LEE011	84.7	23.5	31	-58.1	-18.4
X-4347	BRCA	BYL719 + LEE011	77.6	27.7	34	-61.6	-3.8
X-4347	BRCA	BYL719 + LEE011	68	26.3	38	-66.3	-8.7
X-4347	BRCA	BYL719 + LEE011	69.4	26.2	41	-65.6	-9
X-4347	BRCA	BYL719 + LEE011	53.9	26.9	45	-73.3	-6.6
X-4347	BRCA	BYL719 + LEE011	66	24.8	48	-67.3	-13.9
X-4347	BRCA	CGM097	219	32.9	0	0	0
X-4347	BRCA	CGM097	218.1	31.8	4	-0.4	-3.3
X-4347	BRCA	CGM097	221.4	32.5	8	1.1	-1.2
X-4347	BRCA	CGM097	236.9	32.7	11	8.2	-0.6
X-4347	BRCA	CGM097	306.7	32.9	15	40	0
X-4347	BRCA	CGM097	321.5	33.3	18	46.8	1.2
X-4347	BRCA	CGM097	392.6	33.1	22	79.3	0.6
X-4347	BRCA	CGM097	467.5	30.8	28	113.5	-6.4
X-4347	BRCA	CGM097	433.5	31.6	34	97.9	-4
X-4347	BRCA	CGM097	491.7	34.3	39	124.5	4.3
X-4347	BRCA	CGM097	646.6	33.6	43	195.3	2.1
X-4347	BRCA	CGM097	632.3	32.9	46	188.7	0
X-4347	BRCA	CGM097	647.3	32.7	50	195.6	-0.6
X-4347	BRCA	CGM097	657.3	32.6	53	200.1	-0.9
X-4347	BRCA	CGM097	844.4	32.6	57	285.6	-0.9
X-4347	BRCA	CGM097	856.5	32.1	60	291.1	-2.4
X-4347	BRCA	CGM097	895.8	33.5	64	309	1.8
X-4347	BRCA	CGM097	1070.7	33.2	67	388.9	0.9
X-4347	BRCA	CLR457	292.7	29.7	0	0	0
X-4347	BRCA	CLR457	275.8	29.1	4	-5.8	-2
X-4347	BRCA	CLR457	251	28.8	7	-14.2	-3
X-4347	BRCA	CLR457	328.9	29.7	11	12.4	0
X-4347	BRCA	CLR457	341.8	30.3	14	16.8	2
X-4347	BRCA	CLR457	355	30.5	18	21.3	2.7
X-4347	BRCA	CLR457	411.8	30.5	21	40.7	2.7
X-4347	BRCA	CLR457	437.3	30.5	25	49.4	2.7
X-4347	BRCA	CLR457	424	30.8	28	44.9	3.7
X-4347	BRCA	CLR457	461.8	29.9	32	57.8	0.7
X-4347	BRCA	CLR457	447.5	28	38	52.9	-5.7
X-4347	BRCA	CLR457	515.1	29.7	44	76	0
X-4347	BRCA	CLR457	474.6	29.6	49	62.1	-0.3
X-4347	BRCA	CLR457	524.5	29.3	53	79.2	-1.3
X-4347	BRCA	CLR457	523.8	29.2	56	79	-1.7
X-4347	BRCA	CLR457	487.4	28	60	66.5	-5.7
X-4347	BRCA	CLR457	516.5	25.9	63	76.5	-12.8
X-4347	BRCA	CLR457	459.7	28.2	67	57.1	-5.1
X-4347	BRCA	CLR457	466.4	24.7	70	59.3	-16.8
X-4347	BRCA	CLR457	533.3	26.1	74	82.2	-12.1
X-4347	BRCA	CLR457	571.6	28.1	77	95.3	-5.4
X-4347	BRCA	CLR457	695.5	30.3	81	137.6	2
X-4347	BRCA	CLR457	709.2	31.1	84	142.3	4.7
X-4347	BRCA	CLR457	794.2	30.3	88	171.3	2
X-4347	BRCA	CLR457	830	31.9	91	183.6	7.4
X-4347	BRCA	HDM201	240.2	29.4	0	0	0
X-4347	BRCA	HDM201	247.8	28.7	4	3.2	-2.4
X-4347	BRCA	HDM201	239.6	29.9	7	-0.2	1.7
X-4347	BRCA	HDM201	239.6	28.8	11	-0.2	-2
X-4347	BRCA	HDM201	369.1	28.8	17	53.7	-2
X-4347	BRCA	HDM201	324.8	28.8	23	35.2	-2
X-4347	BRCA	HDM201	352.3	29.7	28	46.7	1
X-4347	BRCA	HDM201	378.5	30	32	57.6	2
X-4347	BRCA	HDM201	373.7	28	35	55.6	-4.8
X-4347	BRCA	HDM201	321.1	28.7	39	33.7	-2.4
X-4347	BRCA	HDM201	430.5	28.3	42	79.2	-3.7
X-4347	BRCA	HDM201	397.4	26.6	46	65.4	-9.5
X-4347	BRCA	HDM201	426.1	25.2	49	77.4	-14.3
X-4347	BRCA	HDM201	455.1	25	53	89.5	-15
X-4347	BRCA	HDM201	461.7	24.1	56	92.2	-18
X-4347	BRCA	INC424	245	30.9	0	0	0
X-4347	BRCA	INC424	258.1	30.3	4	5.3	-1.9
X-4347	BRCA	INC424	335.7	29.9	7	37	-3.2
X-4347	BRCA	INC424	367.8	30	11	50.1	-2.9
X-4347	BRCA	INC424	412.2	30.2	14	68.2	-2.3
X-4347	BRCA	INC424	430.6	30.5	18	75.8	-1.3
X-4347	BRCA	INC424	494	30.4	21	101.6	-1.6
X-4347	BRCA	INC424	578.7	31	25	136.2	0.3
X-4347	BRCA	INC424	623	30.7	28	154.3	-0.6
X-4347	BRCA	LEE011	200.1	30.5	0	0	0
X-4347	BRCA	LEE011	267.3	31.9	3	33.6	4.6
X-4347	BRCA	LEE011	262.5	31	7	31.2	1.6
X-4347	BRCA	LEE011	253.6	31	10	26.7	1.6
X-4347	BRCA	LEE011	266.9	31.3	14	33.4	2.6
X-4347	BRCA	LEE011	242.3	31.1	17	21.1	2
X-4347	BRCA	LEE011	258.1	30.8	21	29	1
X-4347	BRCA	LEE011	236.4	31.6	24	18.1	3.6
X-4347	BRCA	LEE011	249	30.8	28	24.4	1
X-4347	BRCA	LEE011	238.9	31.5	34	19.4	3.3
X-4347	BRCA	LEE011	214.9	31.9	40	7.4	4.6
X-4347	BRCA	LEE011	201	31.8	45	0.4	4.3
X-4347	BRCA	LEE011	192.6	31.4	49	-3.7	3
X-4347	BRCA	LEE011	184.2	32.5	52	-7.9	6.6
X-4347	BRCA	LEE011	184.4	33	56	-7.8	8.2
X-4347	BRCA	LEE011	197.8	32.2	59	-1.1	5.6
X-4347	BRCA	LEE011	194.8	32.5	63	-2.6	6.6
X-4347	BRCA	LEE011	218	32.1	66	8.9	5.2
X-4347	BRCA	LEE011	210.1	32.6	70	5	6.9
X-4347	BRCA	LEE011	236.2	33	73	18	8.2
X-4347	BRCA	LEE011	209.5	33.3	77	4.7	9.2
X-4347	BRCA	LEE011	211.6	32.6	80	5.7	6.9
X-4347	BRCA	LEE011	216.8	31.4	84	8.3	3
X-4347	BRCA	LEE011	200.8	32	87	0.3	4.9
X-4347	BRCA	LEE011	213.6	32.2	91	6.7	5.6
X-4347	BRCA	LEE011	238.3	34.2	94	19.1	12.1
X-4347	BRCA	LEE011	253.2	33	98	26.5	8.2
X-4347	BRCA	LEE011	279.9	33	101	39.9	8.2
X-4347	BRCA	LEE011	286.9	33.2	105	43.4	8.9
X-4347	BRCA	LEE011	301.5	33.1	109	50.7	8.5
X-4347	BRCA	LEE011	306.8	32.2	112	53.3	5.6
X-4347	BRCA	LEE011	316.6	31.8	115	58.2	4.3
X-4347	BRCA	LEE011	323.3	31.9	119	61.6	4.6
X-4347	BRCA	LEE011	380.4	32.8	122	90.1	7.5
X-4347	BRCA	LEE011	353.7	33	126	76.8	8.2
X-4347	BRCA	LEE011	388.3	33	129	94.1	8.2
X-4347	BRCA	LEE011	383	33.2	133	91.4	8.9
X-4347	BRCA	LEE011	431.5	33.1	136	115.6	8.5
X-4347	BRCA	LEE011	466.1	32.7	140	132.9	7.2
X-4347	BRCA	LEE011	436.7	32.5	143	118.2	6.6
X-4347	BRCA	LEE011 + everolimus	208.3	28.3	0	0	0
X-4347	BRCA	LEE011 + everolimus	213.9	29.4	3	2.7	3.9
X-4347	BRCA	LEE011 + everolimus	175.3	27.5	7	-15.8	-2.8
X-4347	BRCA	LEE011 + everolimus	159.3	28	10	-23.5	-1.1
X-4347	BRCA	LEE011 + everolimus	171.3	28	14	-17.8	-1.1
X-4347	BRCA	LEE011 + everolimus	137.4	27	17	-34	-4.6
X-4347	BRCA	LEE011 + everolimus	131.7	27.5	21	-36.8	-2.8
X-4347	BRCA	LEE011 + everolimus	111.6	28.3	24	-46.4	0
X-4347	BRCA	LEE011 + everolimus	112.1	28.5	28	-46.2	0.7
X-4347	BRCA	LEE011 + everolimus	104.7	28.2	31	-49.7	-0.4
X-4347	BRCA	LEE011 + everolimus	115	28.1	35	-44.8	-0.7
X-4347	BRCA	LEE011 + everolimus	102.9	27.9	38	-50.6	-1.4
X-4347	BRCA	LEE011 + everolimus	78.9	27.9	42	-62.1	-1.4
X-4347	BRCA	LEE011 + everolimus	108.6	29	45	-47.9	2.5
X-4347	BRCA	LEE011 + everolimus	99.1	28.9	49	-52.4	2.1
X-4347	BRCA	LEE011 + everolimus	82.4	29.3	52	-60.4	3.5
X-4347	BRCA	LEE011 + everolimus	80.7	29	56	-61.3	2.5
X-4347	BRCA	LEE011 + everolimus	72	28.7	60	-65.4	1.4
X-4347	BRCA	LEE011 + everolimus	70.4	27.7	63	-66.2	-2.1
X-4347	BRCA	LEE011 + everolimus	77	29	66	-63	2.5
X-4347	BRCA	LEE011 + everolimus	57.7	27.7	70	-72.3	-2.1
X-4347	BRCA	LEE011 + everolimus	46.3	27.2	73	-77.8	-3.9
X-4347	BRCA	LEE011 + everolimus	53.8	28.6	77	-74.2	1.1
X-4347	BRCA	LEE011 + everolimus	50	28.6	80	-76	1.1
X-4347	BRCA	LEE011 + everolimus	47.8	27.8	84	-77.1	-1.8
X-4347	BRCA	LEE011 + everolimus	34.1	25.4	87	-83.6	-10.2
X-4347	BRCA	LFA102	213.9	27.2	0	0	0
X-4347	BRCA	LFA102	263.1	27.8	6	23	2.2
X-4347	BRCA	LFA102	277.9	28	10	29.9	2.9
X-4347	BRCA	LFA102	358.4	28.5	13	67.6	4.8
X-4347	BRCA	LFA102	420.2	28.7	17	96.4	5.5
X-4347	BRCA	LFA102	561.7	28.9	20	162.6	6.2
X-4347	BRCA	LFA102	754.9	28.7	24	252.9	5.5
X-4347	BRCA	LFA102	650.1	28.8	27	203.9	5.9
X-4347	BRCA	LFA102	825	28.7	31	285.7	5.5
X-4347	BRCA	LFA102	810.6	29.4	34	279	8.1
X-4347	BRCA	LFA102	1073.3	29.5	38	401.8	8.5
X-4347	BRCA	LFA102	1094.8	29.4	41	411.8	8.1
X-4347	BRCA	LFA102	1202	29.5	45	461.9	8.5
X-4347	BRCA	LFA102	1265.9	30.4	48	491.8	11.8
X-4347	BRCA	LJM716 + trastuzumab	237.2	26.8	0	0	0
X-4347	BRCA	LJM716 + trastuzumab	262.8	23.4	6	10.8	-12.7
X-4347	BRCA	LJM716 + trastuzumab	282.3	23.7	10	19	-11.6
X-4347	BRCA	LJM716 + trastuzumab	339.6	25.2	13	43.2	-6
X-4347	BRCA	LJM716 + trastuzumab	359	25.6	17	51.3	-4.5
X-4347	BRCA	LJM716 + trastuzumab	532.7	24.7	20	124.6	-7.8
